Produkt ;Menge;Einheit ;Kategorie ;Wasser/ liter;C02/ Kg ;Abholzung/ m²;Plastik / g ; Kohlenstoffdioxid ;Abholzung;Plastikverschmutzung;Wasserverbrauch 
Banane ;1;Stück;Obst/Gemüse;9;0,07;0;0;0,07;0;0;0; Die Natur dankt es dir, dass du dich gegen ein tierisches Produkt entschieden hast.;1
Apfel;1;Stück;Obst/Gemüse;14,4;0,04;0;0;0,04;0;0;0; Heimische Äpfel aus wasserreichen Gegenden sind kein Problem für die Umwelt.;1
Avocado;1;Stück;Obst/Gemüse;44,9;0,2;0;0;-0,2;0;0;-45; Avocados werden meist in wasserarmen Gegenden angebaut und nach Deutschland verschifft. Avocados aus ökologischem Anbau stellen in der Regel kein Problem dar, sollten jedoch auch nicht zu oft auf dem Speiseplan stehen.;-1      
Bohnen ;100;gramm;Nüsse und Hülsenfrüchte;16,23;0,06;0;0;0,06;0;0;0; Bohnen sind eine sehr gute Proteinquelle mit gutem ökologischen Fußabdruck.;1
Rind ;100;gramm;Proteine;1541,51;10,26;29,6;0;-10,26;-29,6;0;-1541,51; Landwirtschaft ist weltweit für 70 Prozent des Wasserverbrauchs verantwortlich, 70% wird davon für Tiernahrung genutzt. Entscheide dich beim nächsten Mal lieber für eine pflanzliche Proteinquelle wie Bohnen.;-1
Bier;500;ml;Getränke;9,7;0,7;0;0;-0,7;0;0;0; Entscheide dich beim nächsten Mal lieber für ein Glas Wein, dieses produziert nur die Hälfte an Kohlenstoffdioxid.;-1
Trauben ;100;gramm;Obst/Gemüse;33,48;0,12;0;0;0,12;0;0;0; Die Natur dankt es dir, dass du dich gegen ein tierisches Produkt entschieden hast.;1
Brot;1;Scheibe;Getreide ;24,64;0,05;0;0;0,05;0;0;0; Brot ist eine sehr gute Kohlenhydratquelle und erzeugt von allen Kohlenhydratquellen am wenigsten Kohlenstoffdioxid.;1
Käse;30;gramm;Milchprodukte;226,6;0,96;3,5;0;-0,96;0;0;-226,6; Käse verbraucht in der Produktion sehr viel Wasser, greife stattdessen doch lieber auf einen vegetarischen Brotaufstrich zurück.;-1 
Huhn ;100;gramm;Proteine;121,62;1,81;2,13;0;-1,81;0;0;0; Statt 100 gramm Hünerfleisch zu essen, könntest du von der selben Menge Kohlenstoffdioxid 12 Minuten warm duschen.;-1 
Schokolade dunkel ;1;Tafel;Süßwaren ;24,77;1,48;2,14;0;-1,48;0;0;0; Kakao wird meist in wasserarmen Regionen angebaut. Achte beim Kauf darauf, dass die Schokolade ein ÖkoSiegel hat.-1 
Orange ;1;Stück;Obst/Gemüse;28;0,03;0;0;0,03;0;0;0; Orangen produzieren nur ein Drittel so viel Kohlenstoffdioxid wie Trauben.;1 
Kaffee;1;Tasse;Getränke;132;0,42;0;0;-0,42;0;0;0; Kaffee  wird wie Kakao meist in wasserarmen Gegenden angebaut und nach Deutschland verschifft. Trinke beim nächsten Mal lieber ein Glas Orangensaft zum Frühstück.;-1
Eier;1;Stück;Proteine;34,4;0,28;0;0;-0,28;0;0;0; Eier sind zwar die beste tierische Proteinquelle hinsichtlich der Kohlstoffdioxidentstehung, dennoch lohnt sich ein Umstieg auf Tofu mit weniger als halb so viel Kohlenstoffdioxid.;-1
